Timestamp;Verification_01205953;Station 1_00203F6D;Station 2_0120593F;Station 3_01204052;Station 4_01204042
x;-17,273244;-17,248262;-17,251998;-17,30223;-17,313103
y;-50,174011;-50,130911;-50,203494;-50,198325;-50,132861
2020-09-01 14:00:00;39,79;35,97;37,42;36,97;37,3
2020-09-01 13:00:00;40,39;34,98;37,93;37,44;37,02
2020-09-01 12:00:00;39,31;34,25;37,21;36,41;35,72
2020-09-01 11:00:00;37,13;32,37;35,96;33,52;33,95
2020-09-01 10:00:00;32,96;28,57;33,18;29,98;29,32
2020-09-01 09:00:00;26,81;23,61;29,75;24,97;24,24
2020-09-01 08:00:00;20,49;19,48;25,64;19,69;20,38
2020-09-01 07:00:00;16,92;18,22;19,21;15,68;15,63
2020-09-01 06:00:00;15,8;18,53;15,8;15,33;15,23
2020-09-01 05:00:00;16,09;19,43;16,83;14,98;15,37
2020-09-01 04:00:00;15,8;20,77;17,01;14,84;15,15
2020-09-01 03:00:00;16,39;20,98;16,88;15,59;15,88
2020-09-01 02:00:00;16,99;20,91;17,06;15,85;16,28
2020-09-01 01:00:00;17,51;21,84;17,36;17,76;17,95
2020-09-01 00:00:00;18,56;22,55;18,57;17,14;18,11
2020-08-31 23:00:00;19,5;23,31;19,26;18,77;18,9
2020-08-31 22:00:00;20,33;25,99;19,62;20,17;21,17
2020-08-31 21:00:00;21,7;27,12;20,98;21,71;22,47
2020-08-31 20:00:00;23,62;27,74;21,87;24,67;27,12
2020-08-31 19:00:00;26,28;29,7;24,06;28,7;29,01
2020-08-31 18:00:00;31,3;33,01;28,62;34,48;35,42
2020-08-31 17:00:00;36,28;35,33;35,6;37,35;36,92
2020-08-31 16:00:00;39,98;35,36;36,93;37,81;37,46
2020-08-31 15:00:00;40,45;35,33;37,4;38,07;37,36
2020-08-31 14:00:00;40,53;35,57;37,86;37,77;37,4
2020-08-31 13:00:00;39,96;35,21;38,13;37,73;37,39
2020-08-31 12:00:00;39,51;34,41;37,58;36,35;35,98
2020-08-31 11:00:00;37,26;32,53;36,28;33,48;33,69
2020-08-31 10:00:00;33,14;29,07;33,49;30,34;29,36
2020-08-31 09:00:00;26,57;24,89;30,55;24,22;23,75
2020-08-31 08:00:00;18,88;21,66;25,05;17,29;18,05
2020-08-31 07:00:00;14,67;19,2;19,46;12,86;13,16
2020-08-31 06:00:00;14,09;18,18;13,88;12,92;13,41
2020-08-31 05:00:00;14,48;19,39;14,46;13,81;14,08
2020-08-31 04:00:00;15,25;20,39;14,67;14,42;15,15
2020-08-31 03:00:00;16,39;19,91;15,91;15,93;16,54
2020-08-31 02:00:00;17,34;19,37;17,52;16,68;17,2
2020-08-31 01:00:00;18,86;21,8;18,33;17,41;17,63
2020-08-31 00:00:00;20,24;23,01;20,08;19,73;18,4
2020-08-30 23:00:00;21,38;23,67;22,79;21,11;20,04
2020-08-30 22:00:00;21,33;26,39;23,77;22,39;21,2
2020-08-30 21:00:00;22,14;27,19;24,59;23,58;24,56
2020-08-30 20:00:00;23,8;28,26;24,07;25,04;26,49
2020-08-30 19:00:00;26,46;29,56;25,02;27,31;28,77
2020-08-30 18:00:00;31,16;33,07;27,87;33,58;35,1
2020-08-30 17:00:00;36,29;34,63;35,53;37,3;36,78
2020-08-30 16:00:00;39,07;35,87;37,16;38,24;37,43
2020-08-30 15:00:00;39,29;35,49;37,01;37,77;37,15
2020-08-30 14:00:00;38,2;35,08;37,36;37,63;37,05
2020-08-30 13:00:00;37,89;34;37,07;36,81;36,07
2020-08-30 12:00:00;36,07;32,83;36,71;35,51;34,49
2020-08-30 11:00:00;34,85;30,55;35,16;32,49;31,57
2020-08-30 10:00:00;31,03;27,31;32,3;28,6;27,77
2020-08-30 09:00:00;23,98;22,14;28,25;22,38;21,68
2020-08-30 08:00:00;17,28;18,28;23,02;16,48;17,57
2020-08-30 07:00:00;13,42;15,18;17,98;12,34;12,7
2020-08-30 06:00:00;12,94;16,36;13,12;11,88;12,28
2020-08-30 05:00:00;13,63;17,16;13,61;12,62;13,45
2020-08-30 04:00:00;14,44;17,34;13,98;13,04;13,56
2020-08-30 03:00:00;15,13;17,43;14,56;14,35;14,7
2020-08-30 02:00:00;15,95;20,66;14,7;15,27;16,07
2020-08-30 01:00:00;17,54;21,28;16,74;15,58;17,24
2020-08-30 00:00:00;18,84;22,18;18,58;16,9;17,47
2020-08-29 23:00:00;20,02;24,14;19,96;17,66;19,44
2020-08-29 22:00:00;20,3;24,6;21,28;18,28;19,81
2020-08-29 21:00:00;21,53;26,94;20,92;21,99;21,35
2020-08-29 20:00:00;23,1;27,19;22,17;24,16;23,01
2020-08-29 19:00:00;25,76;29,93;23,61;28,25;27,54
2020-08-29 18:00:00;30,65;32,78;26,87;33,64;34,08
2020-08-29 17:00:00;35,87;34,38;35,36;36,73;35,66
2020-08-29 16:00:00;38,18;34,86;36,03;36,83;36,26
2020-08-29 15:00:00;38,06;34,35;36,75;37,27;36,53
2020-08-29 14:00:00;37,64;34,05;36,85;37,03;36,13
2020-08-29 13:00:00;38,05;33,62;36,86;35,88;35,55
2020-08-29 12:00:00;35,82;32,23;35,93;34,28;33,96
2020-08-29 11:00:00;34,33;30,01;34,25;31,18;30,39
2020-08-29 10:00:00;30,36;26,04;31,32;27,07;26,93
2020-08-29 09:00:00;23,55;21,25;26,53;21,37;20,45
2020-08-29 08:00:00;16;17,89;21,68;14,56;15,83
2020-08-29 07:00:00;12,19;15,24;17,02;10,88;10,87
2020-08-29 06:00:00;11,77;15,15;11,93;10,62;10,92
2020-08-29 05:00:00;12,36;15,54;12,76;11,39;11,44
2020-08-29 04:00:00;12,86;17,37;12,73;11,44;12,3
2020-08-29 03:00:00;13,62;17,78;13,47;12,63;13,06
2020-08-29 02:00:00;14,4;17,55;13,87;13,55;14,01
2020-08-29 01:00:00;15,19;18,5;14,45;13,64;15,11
2020-08-29 00:00:00;16,83;20,97;14,84;15,08;17,29
2020-08-28 23:00:00;18,06;21,73;17,04;15,91;18,31
2020-08-28 22:00:00;19,22;22,9;18,07;18,76;20,3
2020-08-28 21:00:00;20,71;24,1;21,62;20,96;24,05
2020-08-28 20:00:00;21,89;25,65;22,45;22,83;25,38
2020-08-28 19:00:00;24,4;28,28;23,07;26,07;26,99
2020-08-28 18:00:00;29,39;31,35;25,1;32;32,98
2020-08-28 17:00:00;34,83;33,17;33,15;35,28;34,3
2020-08-28 16:00:00;38,06;33,68;35,01;35,89;35,06
2020-08-28 15:00:00;38,66;33,52;35,42;36,07;35,16
2020-08-28 14:00:00;37,88;33,14;35,48;35,55;34,78
2020-08-28 13:00:00;37,38;32,12;35,23;34,62;33,39
2020-08-28 12:00:00;36,18;31,68;34,84;33,53;32,28
2020-08-28 11:00:00;34,44;30,12;33,46;31,14;30,69
2020-08-28 10:00:00;29,37;25,21;30,64;25,92;25,02
2020-08-28 09:00:00;21,11;18,33;24,94;20,17;19,14
2020-08-28 08:00:00;14,11;15,08;20,39;14,04;14,51
2020-08-28 07:00:00;10,33;14,17;15,46;8,64;9,28
2020-08-28 06:00:00;10,02;14,54;11,26;8,96;8,85
2020-08-28 05:00:00;10,63;15,3;11,54;9,2;9,83
2020-08-28 04:00:00;11,17;14,72;12,48;10,39;11,01
2020-08-28 03:00:00;11,78;16,42;12,2;10,97;12,37
2020-08-28 02:00:00;12,75;18,99;13,19;11,65;14,14
2020-08-28 01:00:00;13,7;19,51;14,41;12,72;15,31
2020-08-28 00:00:00;14,89;19,86;15,38;12,96;19,57
2020-08-27 23:00:00;16,04;22,12;15,02;15,27;23,16
2020-08-27 22:00:00;17,07;23,15;18,01;17,95;21,91
2020-08-27 21:00:00;18,07;23,08;19,33;18,91;20,24
2020-08-27 20:00:00;20,05;25,7;19,35;21,87;22,4
2020-08-27 19:00:00;22,71;26,95;21,63;24,9;25,74
2020-08-27 18:00:00;27,64;29,81;26,05;30,96;32,55
2020-08-27 17:00:00;33,2;32,43;32,65;34,39;33,97
2020-08-27 16:00:00;37,15;32,95;34,24;35,03;34,92
2020-08-27 15:00:00;37,6;32,83;34,67;35,14;34,81
2020-08-27 14:00:00;37,63;32,25;35,25;34,7;34,67
2020-08-27 13:00:00;36,95;31,53;34,82;33,96;33,65
2020-08-27 12:00:00;35,3;30,01;33,85;32,07;32,17
2020-08-27 11:00:00;31,61;26,41;31,73;28,43;28,09
2020-08-27 10:00:00;26,63;21,56;28,03;24,99;23,16
2020-08-27 09:00:00;19,34;16,76;22,76;18,22;17,4
2020-08-27 08:00:00;12,59;14,11;19,27;12,13;12,65
2020-08-27 07:00:00;8,58;11,54;14,5;7,34;7,08
2020-08-27 06:00:00;7,96;12,11;8,62;7,21;7,17
2020-08-27 05:00:00;8,59;13,54;8,52;7,62;7,83
2020-08-27 04:00:00;9,31;15,18;9,67;8,34;8,23
2020-08-27 03:00:00;10,29;15,01;10,19;8,81;9,38
2020-08-27 02:00:00;10,96;18,6;11,22;9,67;10,93
2020-08-27 01:00:00;11,83;18,07;12,43;10,87;12,19
2020-08-27 00:00:00;13,08;17,64;13,18;11,79;12,71
2020-08-26 23:00:00;14,29;19,8;13,68;13,02;14,18
2020-08-26 22:00:00;15,86;22,14;13,9;15,02;15,27
2020-08-26 21:00:00;17,64;21,87;16,51;18,58;17,28
2020-08-26 20:00:00;20,04;24,97;18,26;21,79;19,89
2020-08-26 19:00:00;22,8;26,46;21,08;24,29;25,96
2020-08-26 18:00:00;27,79;30,06;24,6;30,82;31,77
2020-08-26 17:00:00;33,89;32,27;32,12;34,5;33,64
2020-08-26 16:00:00;37,29;32,59;34,08;34,54;34,71
2020-08-26 15:00:00;37,28;32,7;34,45;34,81;34,98
2020-08-26 14:00:00;37,41;31,93;34,88;34,25;34,26
2020-08-26 13:00:00;36,65;31,34;34,7;33,38;33,45
2020-08-26 12:00:00;35,24;29,65;33,81;31,89;31,65
2020-08-26 11:00:00;32,07;27,18;31,77;28,9;29
2020-08-26 10:00:00;27,54;23,88;28,56;25;24,48
2020-08-26 09:00:00;21,3;19,92;24,89;20,26;18,91
2020-08-26 08:00:00;14,5;14,08;19,35;13,68;14,42
2020-08-26 07:00:00;11,61;12,13;14;9,52;10,27
2020-08-26 06:00:00;10,55;12,88;10,9;9,48;9,85
2020-08-26 05:00:00;10,98;14,36;10,95;10,64;10,32
2020-08-26 04:00:00;11,75;15,45;11,35;10,93;11,32
2020-08-26 03:00:00;12,69;15,79;12,55;11,33;12,29
2020-08-26 02:00:00;13,71;16,65;14,1;13,13;13,89
2020-08-26 01:00:00;15,09;19,77;14,24;13,9;15,73
2020-08-26 00:00:00;16,15;20,49;16,25;15,29;17,07
2020-08-25 23:00:00;17,28;21,84;16,9;16,83;18,54
2020-08-25 22:00:00;18,63;23,44;17,83;19,47;21,16
2020-08-25 21:00:00;20,16;23,64;20,32;21,27;23,94
2020-08-25 20:00:00;22,46;25,26;21,72;22,62;24,58
2020-08-25 19:00:00;24,97;27,24;23,44;26,19;26,86
2020-08-25 18:00:00;28,92;30,56;26,96;31,22;31,76
2020-08-25 17:00:00;33,37;32,28;32,31;34,3;33,59
2020-08-25 16:00:00;36,95;32,77;34,03;34,8;34,89
2020-08-25 15:00:00;37,3;32,75;34,91;35,22;35,37
2020-08-25 14:00:00;37,44;32,05;35,27;34,68;34,63
2020-08-25 13:00:00;36,67;31,02;35,13;33,53;33,96
